Date,Temperature,%Humidit�,Vitesse du vent(m/s),Visibilit�,Temperature des points de ros�,Radiation solaire,Chute de pluie,Chute de neige,saison,vacance,Jour de Travail,Nombre de Trotinette lou�
2018-01-29,-9.3,45,0.7,1976,-19,0,0,0,Hiver,No,Yes,4136
2018-01-30,-10,34,1.1,2000,-22.9,0,0,0,Hiver,No,Yes,3408
2018-01-31,-1.7,83,0.8,1113,-4.2,0,0,3.5,Hiver,No,Yes,3878
2018-02-01,-5.2,56,1.4,1996,-12.6,0,0,1.6,Hiver,No,Yes,5425
2018-02-02,-4.9,56,1.1,1982,-12.3,0,0,0,Hiver,No,Yes,6002
2018-02-03,-2.5,69,2.2,1366,-7.4,0,0,0,Hiver,No,Yes,3338
2018-02-04,-10.4,49,2.4,2000,-19,0,0,0,Hiver,No,Yes,2535
2018-02-05,-10.5,52,2.4,2000,-18.4,0,0,0,Hiver,No,Yes,3980
2018-02-06,-10.6,47,3.5,1803,-19.7,0,0,0,Hiver,No,Yes,4036
2018-02-07,-12.3,47,0.4,1848,-21.3,0,0,0,Hiver,No,Yes,4745
2018-02-08,-8.2,50,1.1,1850,-16.8,0,0,0,Hiver,No,Yes,5661
2018-02-09,-4.6,38,0.1,1551,-16.7,0,0,0,Hiver,No,Yes,6316
2018-02-10,1.5,71,1.1,590,-3.1,0,0,0,Hiver,No,Yes,4473
2018-02-11,-6.9,36,2.1,2000,-19.5,0,0,0,Hiver,No,Yes,2898
2018-02-12,-7.7,52,3.2,1982,-15.8,0,0,0,Hiver,No,Yes,4861
2018-02-13,-5,60,1.8,1995,-11.5,0,0,0,Hiver,No,Yes,6315
2018-02-14,2,65,2.2,1885,-3.9,0,0,0,Hiver,No,Yes,6819
2018-02-15,-0.7,37,3.5,1716,-13.6,0,0,0,Hiver,No,Yes,3532
2018-02-16,-3.3,35,1.8,1977,-16.6,0,0,0,Hiver,No,Yes,2641
2018-02-17,-2.7,41,3.2,1695,-14.1,0,0,0,Hiver,No,Yes,3166
2018-02-18,-3.6,33,1.7,2000,-17.5,0,0,0,Hiver,No,Yes,4610
2018-02-19,-1.1,39,1.7,1832,-13.3,0,0,0,Hiver,No,Yes,7652
2018-02-20,0,75,2.3,394,-3.9,0,0,0,Hiver,No,Yes,8003
2018-02-21,-1.4,28,3.4,1990,-17.6,0,0,0,Hiver,No,Yes,7539
2018-02-22,-2.7,58,1.7,2000,-9.8,0,0,0,Hiver,No,Yes,7760
2018-02-23,1.7,86,2.7,54,-0.3,0,0.4,0.4,Hiver,No,Yes,5845
2018-02-24,4.6,82,3,240,1.7,0,0,0,Hiver,No,Yes,6404
2018-02-25,-1.1,44,1.2,1741,-11.8,0,0,0,Hiver,No,Yes,6548
2018-02-26,-0.9,60,0.7,1844,-7.7,0,0,0,Hiver,No,Yes,9295
2018-02-27,2.6,40,1.8,1095,-9.6,0,0,0,Hiver,No,Yes,8910
2018-03-02,-4.3,53,2.6,1334,-12.4,0,0,0,Printemps,No,Yes,8481
2018-03-03,0.5,34,0.4,1889,-13.5,0,0,0,Printemps,No,Yes,12239
2018-03-04,8.5,87,0.9,303,6.4,0,0,0,Printemps,No,Yes,4736
2018-03-07,2.8,45,1.7,1493,-7.9,0,0,0,Printemps,No,Yes,11218
2018-03-08,5.2,83,1.5,733,2.5,0,0.5,0,Printemps,No,Yes,7759
2018-03-09,3,72,2.3,473,-1.5,0,0,0,Printemps,No,Yes,11690
2018-03-10,2.1,74,1.4,970,-2,0,0,0,Printemps,No,Yes,11112
2018-03-11,5.1,77,1.9,718,1.3,0,0,0,Printemps,No,Yes,11891
2018-03-12,3.5,46,1.1,1040,-7,0,0,0,Printemps,No,Yes,13387
2018-03-13,6.4,62,0.7,506,-0.3,0,0,0,Printemps,No,Yes,16011
2018-03-14,13.6,79,2.2,862,10,0,0,0,Printemps,No,Yes,19228
2018-03-15,16,69,2.4,1863,10.3,0,0,0,Printemps,No,Yes,6275
2018-03-16,8.4,86,2.2,2000,6.1,0,0,0,Printemps,No,Yes,15325
2018-03-17,3.7,48,1.6,2000,-6.3,0,0,0,Printemps,No,Yes,15437
2018-03-19,7,81,1.1,421,3.9,0,0.5,0,Printemps,No,Yes,9016
2018-03-20,6.3,42,3.3,2000,-5.6,0,0,0,Printemps,No,Yes,11563
2018-03-21,1.6,39,2.3,2000,-10.8,0,0,0,Printemps,No,Yes,7432
2018-03-22,1.6,86,1.7,1141,-0.4,0,0,0,Printemps,No,Yes,14055
2018-03-23,2.9,72,1.3,903,-1.6,0,0,0,Printemps,No,Yes,15017
2018-03-24,4.7,46,1.7,746,-5.9,0,0,0,Printemps,No,Yes,12291
2018-03-25,6.4,84,1.4,171,3.8,0,0,0,Printemps,No,Yes,11255
2018-03-26,7.1,84,2.3,185,4.5,0,0,0,Printemps,No,Yes,13268
2018-03-27,9,68,1.1,426,3.3,0,0,0,Printemps,No,Yes,14778
2018-03-28,12,76,0.8,346,7.8,0,0,0,Printemps,No,Yes,17409
2018-03-30,11.8,78,0.6,438,8,0,0,0,Printemps,No,Yes,19396
2018-03-31,11.7,77,1.3,588,7.7,0,0,0,Printemps,No,Yes,19337
2018-04-01,12.1,70,0.8,1050,6.7,0,0,0,Printemps,No,Yes,17325
2018-04-02,16.1,80,1.9,605,12.6,0,0,0,Printemps,No,Yes,21697
2018-04-03,16.8,69,0.8,1395,11,0,0,0,Printemps,No,Yes,20886
2018-04-04,15,96,2.1,141,14.3,0,0.1,0,Printemps,No,Yes,20124
2018-04-05,9.5,61,1.7,2000,2.3,0,0,0,Printemps,No,Yes,2264
2018-04-06,7.2,95,0.9,861,6.4,0,0.5,0,Printemps,No,Yes,11794
2018-04-07,3,67,3.3,945,-2.5,0,0,0,Printemps,No,Yes,11250
2018-04-08,2.9,46,2.2,2000,-7.6,0,0,0,Printemps,No,Yes,6586
2018-04-09,3.2,84,0.6,785,0.7,0,0,0,Printemps,No,Yes,19418
2018-04-10,9,46,1.2,1259,-2,0,0,0,Printemps,No,Yes,16259
2018-04-12,9.5,40,2.4,1987,-3.4,0,0,0,Printemps,No,Yes,22798
2018-04-13,11.4,22,1.5,2000,-9.6,0,0,0,Printemps,No,Yes,23427
2018-04-14,14.8,27,2.1,2000,-4,0,0,0,Printemps,No,Yes,6839
2018-04-15,7.8,78,1.8,1741,4.1,0,0,0,Printemps,No,Yes,10181
2018-04-16,8.3,59,2.1,1912,0.7,0,0,0,Printemps,No,Yes,23348
2018-04-17,9.6,31,0.8,2000,-6.7,0,0,0,Printemps,No,Yes,22294
2018-04-18,9.6,44,2.2,1417,-2,0,0,0,Printemps,No,Yes,21723
2018-04-19,9.8,44,1.4,1268,-1.8,0,0,0,Printemps,No,Yes,17811
2018-04-20,12.4,56,0.5,1028,3.8,0,0,0,Printemps,No,Yes,22795
2018-04-21,16.3,59,0.2,756,8.2,0,0,0,Printemps,No,Yes,24571
2018-04-22,15.9,35,0.3,1995,0.4,0,0,0,Printemps,No,Yes,6155
2018-04-23,10.7,94,2.6,477,9.7,0,2,0,Printemps,No,Yes,1157
2018-04-25,8.9,55,0.7,2000,0.3,0,0,0,Printemps,No,Yes,25295
2018-04-27,11.8,59,2.4,1535,4,0,0,0,Printemps,No,Yes,31924
2018-04-28,13.3,70,1.6,473,7.9,0,0,0,Printemps,No,Yes,48863
2018-04-29,11.7,53,1.4,1620,2.4,0,0,0,Printemps,No,Yes,49563
2018-04-30,14.7,54,1.3,718,5.4,0,0,0,Printemps,No,Yes,50230
2018-05-01,18.3,78,0.8,349,14.3,0,0,0,Printemps,No,Yes,50696
2018-05-02,19.7,76,0.5,386,15.3,0,0,0,Printemps,No,Yes,6739
2018-05-03,8.7,86,3.1,2000,6.4,0,0,0,Printemps,No,Yes,12362
2018-05-04,10,63,2.1,1653,3.2,0,0,0,Printemps,No,Yes,26890
2018-05-05,12.2,59,1.2,1718,4.4,0,0,0,Printemps,No,Yes,25338
2018-05-06,18.7,64,3.3,1654,11.7,0,0,0,Printemps,No,Yes,14649
2018-05-07,15.5,85,0.9,2000,12.9,0,0,0,Printemps,No,Yes,28122
2018-05-08,16.4,72,0.8,1046,11.3,0,0,0,Printemps,Yes,,26317
2018-05-09,11.6,57,1.9,2000,3.3,0,0,0,Printemps,No,Yes,28391
2018-05-10,14.5,63,0.9,2000,7.5,0,0,0,Printemps,Yes,No,772
2018-05-11,12.5,84,1.5,334,9.8,0,0,0,Printemps,No,Yes,26835
2018-05-12,16.1,54,1.3,1052,6.7,0,0,0,Printemps,No,Yes,2365
2018-05-13,15.5,97,1.5,181,15,0,0.5,0,Printemps,No,Yes,26397
2018-05-14,12.7,89,1.2,340,10.9,0,0,0,Printemps,No,Yes,28024
2018-05-15,18.1,77,0.5,287,13.9,0,0,0,Printemps,No,Yes,28424
2018-05-16,24.4,63,0.8,745,16.8,0,0,0,Printemps,No,Yes,5920
2018-05-17,22,97,1.6,152,21.4,0,0.5,0,Printemps,No,Yes,3580
2018-05-18,19.3,97,1.8,523,18.8,0,1,0,Printemps,No,Yes,16695
2018-05-19,12.2,67,1.2,2000,6.2,0,0,0,Printemps,No,Yes,31339
2018-05-20,15.8,41,1.2,2000,2.5,0,0,0,Printemps,No,Yes,26688
2018-05-21,15.3,29,1.3,2000,-2.6,0,0,0,Printemps,No,Yes,31575
2018-05-22,16,71,0.5,1299,10.7,0,0,0,Printemps,No,Yes,12913
2018-05-23,15.8,97,2.4,181,15.3,0,3.5,0,Printemps,No,Yes,28468
2018-05-24,13.7,51,1.3,1651,3.7,0,0,0,Printemps,No,Yes,28882
2018-05-25,17.6,57,1.8,943,8.9,0,0,0,Printemps,No,Yes,29261
2018-05-27,20.1,65,1.6,1097,13.3,0,0,0,Printemps,No,Yes,28720
2018-05-28,17.3,55,0.7,1741,8.1,0,0,0,Printemps,No,Yes,31139
